"","ID","DateTime","Date","Time","names","NPQ","Pulse"
"42"," 11-6-2021 22:16:57 ",2021-06-11 22:16:57," 11-6-2021","22:16:57 ","NPQ_7",0.190407929226737,2400
"43"," 11-6-2021 22:31:34 ",2021-06-11 22:31:34," 11-6-2021","22:31:34 ","NPQ_1",1.18872104733132,120
"44"," 11-6-2021 22:31:34 ",2021-06-11 22:31:34," 11-6-2021","22:31:34 ","NPQ_2",0.879128480027667,300
"45"," 11-6-2021 22:31:34 ",2021-06-11 22:31:34," 11-6-2021","22:31:34 ","NPQ_3",0.801558355437666,420
"46"," 11-6-2021 22:31:34 ",2021-06-11 22:31:34," 11-6-2021","22:31:34 ","NPQ_4",0.738163787587972,600
"47"," 11-6-2021 22:31:34 ",2021-06-11 22:31:34," 11-6-2021","22:31:34 ","NPQ_5",0.64154078549849,1200
"48"," 11-6-2021 22:31:34 ",2021-06-11 22:31:34," 11-6-2021","22:31:34 ","NPQ_6",0.55487194162255,1800
"49"," 11-6-2021 22:31:34 ",2021-06-11 22:31:34," 11-6-2021","22:31:34 ","NPQ_7",0.517949434278531,2400
"50"," 11-6-2021 22:50:06 ",2021-06-11 22:50:06," 11-6-2021","22:50:06 ","NPQ_1",1.24373601789709,120
"51"," 11-6-2021 22:50:06 ",2021-06-11 22:50:06," 11-6-2021","22:50:06 ","NPQ_2",0.747908678982224,300
"52"," 11-6-2021 22:50:06 ",2021-06-11 22:50:06," 11-6-2021","22:50:06 ","NPQ_3",0.534736036725325,420
"53"," 11-6-2021 22:50:06 ",2021-06-11 22:50:06," 11-6-2021","22:50:06 ","NPQ_4",0.371086807928913,600
"54"," 11-6-2021 22:50:06 ",2021-06-11 22:50:06," 11-6-2021","22:50:06 ","NPQ_5",0.266990904497221,1200
"55"," 11-6-2021 22:50:06 ",2021-06-11 22:50:06," 11-6-2021","22:50:06 ","NPQ_6",0.226625084082431,1800
"56"," 11-6-2021 22:50:06 ",2021-06-11 22:50:06," 11-6-2021","22:50:06 ","NPQ_7",0.216950797791664,2400
"57"," 11-6-2021 23:06:14 ",2021-06-11 23:06:14," 11-6-2021","23:06:14 ","NPQ_1",1.15106587003024,120
"58"," 11-6-2021 23:06:14 ",2021-06-11 23:06:14," 11-6-2021","23:06:14 ","NPQ_2",0.528086355061832,300
"59"," 11-6-2021 23:06:14 ",2021-06-11 23:06:14," 11-6-2021","23:06:14 ","NPQ_3",0.430631868131868,420
"60"," 11-6-2021 23:06:14 ",2021-06-11 23:06:14," 11-6-2021","23:06:14 ","NPQ_4",0.392845202273487,600
"61"," 11-6-2021 23:06:14 ",2021-06-11 23:06:14," 11-6-2021","23:06:14 ","NPQ_5",0.340781609195402,1200
"62"," 11-6-2021 23:06:14 ",2021-06-11 23:06:14," 11-6-2021","23:06:14 ","NPQ_6",0.288757291850804,1800
"63"," 11-6-2021 23:06:14 ",2021-06-11 23:06:14," 11-6-2021","23:06:14 ","NPQ_7",0.237250742469241,2400
"64"," 11-6-2021 23:21:12 ",2021-06-11 23:21:12," 11-6-2021","23:21:12 ","NPQ_1",0.947659753363229,120
"65"," 11-6-2021 23:21:12 ",2021-06-11 23:21:12," 11-6-2021","23:21:12 ","NPQ_2",0.4973604826546,300
"66"," 11-6-2021 23:21:12 ",2021-06-11 23:21:12," 11-6-2021","23:21:12 ","NPQ_3",0.406232609905398,420
"67"," 11-6-2021 23:21:12 ",2021-06-11 23:21:12," 11-6-2021","23:21:12 ","NPQ_4",0.327649615513206,600
"68"," 11-6-2021 23:21:12 ",2021-06-11 23:21:12," 11-6-2021","23:21:12 ","NPQ_5",0.249977515963666,1200
"69"," 11-6-2021 23:21:12 ",2021-06-11 23:21:12," 11-6-2021","23:21:12 ","NPQ_6",0.197475552492138,1800
"70"," 11-6-2021 23:21:12 ",2021-06-11 23:21:12," 11-6-2021","23:21:12 ","NPQ_7",0.184211647424701,2400
"71"," 11-6-2021 23:35:42 ",2021-06-11 23:35:42," 11-6-2021","23:35:42 ","NPQ_1",0.828711552434003,120
"72"," 11-6-2021 23:35:42 ",2021-06-11 23:35:42," 11-6-2021","23:35:42 ","NPQ_2",0.479306460302689,300
